,index,mean,std
0,20000.0,822.0,392.21932639787144
1,60000.0,1063.0,447.4382638979371
2,100000.0,1357.0,624.9167944614707
3,140000.0,1402.0,386.02590586643277
4,180000.0,1192.0,257.05252381565913
5,220000.0,1574.0,700.3027916551525
6,260000.0,1380.0,341.26236241343696
7,300000.0,1156.0,361.69600495443683
8,340000.0,1269.0,302.966994902085
9,380000.0,1319.0,188.17279293245343
10,420000.0,1311.0,454.0363421577616
11,460000.0,1376.0,488.5734335798458
12,500000.0,1247.0,552.4861989226519
13,540000.0,1332.0,459.34300909015695
14,580000.0,1319.0,511.438168305808
15,620000.0,1538.0,354.39525956197554
16,660000.0,1098.0,358.01675938425007
17,700000.0,1776.0,746.9297155690085
18,740000.0,1482.0,472.3939034322945
19,780000.0,1562.0,942.016984984878
20,820000.0,1500.0,341.61381705077446
21,860000.0,1450.0,524.8237799490415
22,900000.0,1313.0,688.6225381150402
23,940000.0,1330.0,620.9347791837722
24,980000.0,1392.0,284.668227942635
25,1020000.0,1222.0,325.60098279949955
26,1060000.0,1482.0,752.7522832911236
27,1100000.0,1286.0,322.12419964976243
28,1140000.0,1323.0,346.9596518328896
29,1180000.0,1584.0,373.769982743398
30,1220000.0,1601.0,760.7029643691419
31,1260000.0,1350.0,589.0161288114274
32,1300000.0,1561.0,600.3907061239373
33,1340000.0,1446.0,452.5306619445803
34,1380000.0,1208.0,302.05297548608917
35,1420000.0,1627.0,690.3194912502471
36,1460000.0,1353.0,707.0226304723209
37,1500000.0,1107.0,338.4981536138713
38,1540000.0,1467.0,421.9253488473998
39,1580000.0,1133.0,601.2994262428662
40,1620000.0,1187.0,415.93388897756336
41,1660000.0,1259.0,471.51776212567006
42,1700000.0,1091.0,326.663435358168
43,1740000.0,1259.0,420.4866228549964
44,1780000.0,969.0,498.5468884668723
45,1820000.0,1220.0,289.0674661735561
46,1860000.0,1249.0,456.75923635981354
47,1900000.0,1029.0,308.300178397613
48,1940000.0,860.0,169.41074346097417
49,1980000.0,914.0,363.48865181735727
50,2020000.0,874.0,382.44476725404417
51,2060000.0,825.0,249.6096953245206
52,2100000.0,914.0,187.68057970924963
53,2140000.0,657.0,202.98029461009264
54,2180000.0,835.0,379.2953993920833
55,2220000.0,828.0,242.35511135521776
56,2260000.0,887.0,307.05211284080104
57,2300000.0,1076.0,310.5865418848666
58,2340000.0,880.0,283.1254139069822
59,2380000.0,886.0,180.3995565404749
60,2420000.0,731.0,265.98684177981437
61,2460000.0,856.0,238.5036687348855
62,2500000.0,825.0,327.08561570328953
63,2540000.0,930.0,414.9457795905388
64,2580000.0,874.0,289.28186946298587
65,2620000.0,810.0,236.6854452643846
66,2660000.0,991.0,303.6922784662132
67,2700000.0,1052.0,344.17437440925204
68,2740000.0,942.0,231.98275797998437
69,2780000.0,1113.0,174.01436722293937
70,2820000.0,1092.0,322.3600471522487
71,2860000.0,908.0,341.63723450467165
72,2900000.0,800.0,343.4530535604539
73,2940000.0,886.0,345.08549665264115
74,2980000.0,966.0,347.9137824231745
75,3020000.0,990.0,363.59317925395686
76,3060000.0,766.0,209.4850830011531
77,3100000.0,1204.0,607.2594173827196
78,3140000.0,1185.0,413.0193700058146
79,3180000.0,879.0,284.7261842542761
80,3220000.0,858.0,176.0
81,3260000.0,1287.0,490.69440591879584
82,3300000.0,1109.0,260.2095309553438
83,3340000.0,1099.0,318.22790575309386
84,3380000.0,1067.0,285.86885104886824
85,3420000.0,1198.0,309.63849889831204
86,3460000.0,942.0,255.1391777050322
87,3500000.0,1094.0,432.7401067615527
88,3540000.0,981.0,360.09582058113364
89,3580000.0,1001.0,373.4287080555002
90,3620000.0,1068.0,317.89306378088844
91,3660000.0,1114.0,417.8564346758346
92,3700000.0,1238.0,327.2858078194042
93,3740000.0,955.0,232.7767170487633
94,3780000.0,1057.0,338.9114928709264
95,3820000.0,788.0,252.49950495000977
96,3860000.0,1005.0,394.6707488527621
97,3900000.0,1089.0,401.5333111959704
98,3940000.0,874.0,271.85290140073914
99,3980000.0,887.0,396.208278560658
100,4020000.0,746.0,222.04504047602595
101,4060000.0,999.0,443.92454313768235
102,4100000.0,1141.0,342.504014575012
103,4140000.0,950.0,243.88521890430343
104,4180000.0,871.0,214.403824592753
105,4220000.0,973.0,237.48894711122873
106,4260000.0,1001.0,269.97962886114203
107,4300000.0,869.0,395.46049107338143
108,4340000.0,1037.0,224.94666034418026
109,4380000.0,1047.0,243.92826814455105
110,4420000.0,988.0,145.58846108122717
111,4460000.0,891.0,325.4366297760595
112,4500000.0,894.0,347.3960276111401
113,4540000.0,1134.0,320.44344274770236
114,4580000.0,1000.0,434.09676340650134
