,index,mean,std
0,20000.0,1090.0,496.60849771223207
1,40000.0,636.0,218.3666641225258
2,60000.0,745.0,214.72074888095935
3,80000.0,746.0,242.7838544878963
4,100000.0,581.0,206.27408950229304
5,120000.0,779.0,241.26541401535363
6,140000.0,810.0,398.87341350358264
7,160000.0,1338.0,433.7925771610206
8,180000.0,999.0,524.5274063383151
9,200000.0,1330.0,384.7336741175641
10,220000.0,933.0,342.8716961197001
11,240000.0,1518.0,449.63985588468466
12,260000.0,963.0,365.67882082505133
13,280000.0,870.0,307.5060975005211
14,300000.0,1314.0,546.4650034540181
15,320000.0,967.0,586.907999604708
16,340000.0,1232.0,442.62399392712547
17,360000.0,1221.0,249.65776575143823
18,380000.0,1262.0,384.7544671605516
19,400000.0,1878.0,394.5833245336148
20,420000.0,1252.0,636.2358053426418
21,440000.0,1786.0,687.4619989497602
22,460000.0,1433.0,283.6212262860451
23,480000.0,1616.0,515.8914614528912
24,500000.0,1325.0,412.6802636424475
25,520000.0,2305.0,1044.3969551851442
26,540000.0,1613.0,618.7414645875933
27,560000.0,1682.0,594.538476467251
28,580000.0,1600.0,599.9833331018455
29,600000.0,2175.0,819.2466051196062
30,620000.0,1307.0,473.9208794725128
31,640000.0,2143.0,916.330180666336
32,660000.0,1606.0,574.6686001514264
33,680000.0,1606.0,700.0314278659209
34,700000.0,1641.0,459.03050007597534
35,720000.0,1510.0,309.16015267171804
36,740000.0,1524.0,582.0343632467072
37,760000.0,1509.0,737.4205041901126
38,780000.0,1167.0,419.52473109460425
39,800000.0,1356.0,385.72529084829273
40,820000.0,1605.0,298.4375981675231
41,840000.0,1821.0,487.51307674769095
42,860000.0,1472.0,793.4708564276322
43,880000.0,1264.0,525.8364764829462
44,900000.0,2360.0,759.2364585555675
45,920000.0,1503.0,505.2929843170198
46,940000.0,1892.0,715.4690768999035
47,960000.0,1779.0,689.6586111983232
48,980000.0,1815.0,657.6511233169149
49,1000000.0,1877.0,565.7216630110606
50,1020000.0,1282.0,335.3744176290136
51,1040000.0,1932.0,672.9903416840393
52,1060000.0,2012.0,446.8512056602287
53,1080000.0,1775.0,923.9182864301366
54,1100000.0,2061.0,739.1813038761194
55,1120000.0,1946.0,832.5767231913225
56,1140000.0,1999.0,788.8783176130524
57,1160000.0,1405.0,456.689172194831
58,1180000.0,1698.0,507.85430981729394
59,1200000.0,1924.0,623.3650615810931
60,1220000.0,1700.0,776.4277171765573
61,1240000.0,1917.0,747.1151183050708
62,1260000.0,2001.0,709.4709296370078
63,1280000.0,1462.0,601.6111701090664
64,1300000.0,1555.0,372.75326960336645
65,1320000.0,1770.0,549.4178737536666
66,1340000.0,1925.0,772.9974126735483
67,1360000.0,1607.0,583.1989368988939
