,index,mean,std
0,20000.0,4640.8,1432.3534340378424
1,60000.0,2709.4,1180.0341689968134
2,100000.0,2118.5,976.0995082469819
3,140000.0,5472.8,3628.951523511991
4,180000.0,2743.5,1924.517095273513
5,220000.0,2494.7,1131.0629558075007
6,260000.0,4766.5,2111.9897845396886
7,300000.0,4127.8,3035.546402214929
8,340000.0,4763.8,3731.5488151704512
9,380000.0,2967.8,3039.9617694964522
10,420000.0,5315.2,3023.2490072767737
11,460000.0,5404.9,3764.0055379874248
12,500000.0,3964.4,1728.1937507119972
13,540000.0,3727.8,2554.1282191777295
14,580000.0,2858.4,2055.6736219546137
15,620000.0,3025.3,1721.4132595051078
16,660000.0,3539.5,2031.0731276839836
17,700000.0,4603.2,3134.176823346124
18,740000.0,4315.4,1542.991198937959
19,780000.0,8289.8,5282.2485515166745
20,820000.0,5217.3,1573.0305178222068
21,860000.0,5766.6,4485.775567279308
22,900000.0,3556.1,1775.3935591862441
23,940000.0,5527.8,2424.1018460452524
24,980000.0,6119.2,1983.2792440803692
25,1020000.0,6071.7,5232.900840833887
26,1060000.0,7361.7,4500.492951888715
27,1100000.0,6210.7,1927.158428879162
28,1140000.0,5635.7,2141.1110690480305
29,1180000.0,5262.2,2716.303952064275
30,1220000.0,6952.9,3767.4553069678213
31,1260000.0,5252.1,1616.6926393102679
32,1300000.0,5434.4,3592.8428354159887
33,1340000.0,5320.3,1839.3302068959777
34,1380000.0,5455.9,2330.8304721708096
35,1420000.0,6276.1,2961.0536790136043
36,1460000.0,3597.6,1693.9167157803245
37,1500000.0,5447.6,2342.152352004455
38,1540000.0,6620.2,3366.6265845798816
39,1580000.0,7236.2,4303.861749638341
40,1620000.0,6218.1,4025.2104653048887
41,1660000.0,5471.7,2389.373016086019
42,1700000.0,4462.5,2107.437270715311
43,1740000.0,4696.0,2664.1407620469304
44,1780000.0,6147.3,2296.4132925063814
45,1820000.0,5368.4,4215.383735794406
46,1860000.0,5834.4,2913.02922058808
47,1900000.0,7110.3,3137.180423565084
48,1940000.0,5408.4,3173.3793722150526
49,1980000.0,7275.9,3706.298138304581
50,2020000.0,7715.5,6182.436837526122
51,2060000.0,4131.3,1514.3038037329234
52,2100000.0,6087.2,2012.624048350809
53,2140000.0,6267.6,2885.347265061868
54,2180000.0,7260.7,2604.108448202571
55,2220000.0,8447.6,6558.245927075319
56,2260000.0,6573.7,1910.0622529121924
57,2300000.0,4115.3,1626.4466821878914
58,2340000.0,5845.6,2930.8241230070425
59,2380000.0,5718.8,2398.4418191817786
60,2420000.0,6818.2,2855.4262308804264
61,2460000.0,3709.4,1929.8314019623579
62,2500000.0,8914.7,3092.3316785235047
63,2540000.0,8116.8,3935.554161741393
64,2580000.0,8174.5,3876.2383376154776
65,2620000.0,5037.1,2438.902394520945
66,2660000.0,6068.4,3289.4174013037627
67,2700000.0,4729.7,1809.7660649929317
